Datetime,kobuki_bat,powerbank_bat,position_x,position_y,cpu_usage,ram_usage,completed_service_name,completed_service_duration
15/11/2023 19:51:37.120737,,,1.127410851,1.112717294,,,,
15/11/2023 19:51:37.150578,,,1.127410848,1.112717296,,,,
15/11/2023 19:51:37.160755,,,1.127410846,1.112717298,,,,
15/11/2023 19:51:37.178664,,,1.12997734,1.115561756,,,,
15/11/2023 19:51:37.199178,,,1.129977348,1.115561783,,,,
15/11/2023 19:51:37.199987,,,1.129977351,1.115561794,,,,
15/11/2023 19:51:37.209234,,,1.129977353,1.115561802,,,,
15/11/2023 19:51:37.219315,,,1.129977356,1.115561811,,,,
15/11/2023 19:51:37.219502,,,,,,,,
15/11/2023 19:51:37.219615,,,,,,,,
15/11/2023 19:51:37.229517,,,1.12997736,1.115561825,,,,
15/11/2023 19:51:37.376113,,,,,,,,
15/11/2023 19:51:37.376577,,,,,,,,
15/11/2023 19:51:37.391195,,,,,,,,
15/11/2023 19:51:37.391311,,,,,,,,
15/11/2023 19:51:37.754689,,,1.127410854,1.112717293,,,,
15/11/2023 19:51:40.296488,,,1.128185978,1.09745862,,,,
15/11/2023 19:51:40.321212,,,1.128185978,1.097458617,,,,
15/11/2023 19:51:40.358922,,,1.128185973,1.097458598,,,,
15/11/2023 19:51:40.383766,,,1.128185969,1.09745858,,,,
15/11/2023 19:51:40.461495,,,1.128185964,1.097458562,,,,
15/11/2023 19:51:40.462317,,,1.128185961,1.097458547,,,,
15/11/2023 19:51:40.491428,,,1.128185951,1.097458508,,,,
15/11/2023 19:51:40.518800,,,1.128185947,1.097458493,,,,
15/11/2023 19:51:40.556299,,,1.128185947,1.097458492,,,,
15/11/2023 19:51:40.581424,,,1.128185944,1.097458478,,,,
15/11/2023 19:51:40.591314,,,,,,,,
15/11/2023 19:51:40.591430,,,,,,,,
15/11/2023 19:51:40.656439,,,,,,,,
15/11/2023 19:51:40.656560,,,,,,,,
15/11/2023 19:51:40.657235,,,,,,,,
15/11/2023 19:51:40.657330,,,,,,,,
15/11/2023 19:51:42.631468,,,1.125988457,1.109144429,,,,
15/11/2023 19:51:42.673112,,,1.125988452,1.109144449,,,,
15/11/2023 19:51:42.685251,,,1.12598844,1.109144499,,,,
15/11/2023 19:51:42.687938,,,1.125988439,1.109144504,,,,
15/11/2023 19:51:42.692467,,,1.125988439,1.109144505,,,,
15/11/2023 19:51:42.695109,,,1.125988435,1.109144522,,,,
15/11/2023 19:51:42.715450,,,1.125988431,1.109144537,,,,
15/11/2023 19:51:42.740572,,,1.125988427,1.109144552,,,,
15/11/2023 19:51:42.782867,,,1.132470746,1.115497041,,,,
15/11/2023 19:51:42.785555,,,1.132470761,1.115497084,,,,
15/11/2023 19:51:42.809666,,,,,,,,
15/11/2023 19:51:42.810019,,,,,,,,
15/11/2023 19:51:42.904608,76.9697,31.34,,,97,8.18737152,,
15/11/2023 19:51:42.904806,,,,,,,,
15/11/2023 19:51:42.904927,,,,,,,,
15/11/2023 19:51:42.912030,,,,,,,/IP_10_3_0_8/release_trolley,12771
15/11/2023 19:51:43.190388,,,,,,,/IP_10_3_0_8/rosping_service,1207
15/11/2023 19:51:45.330651,,,,,,,/IP_10_3_0_8/move_camera,2415
15/11/2023 19:51:45.725562,,,1.123841321,1.109772555,,,,
15/11/2023 19:51:45.747723,,,1.123841315,1.109772555,,,,
15/11/2023 19:51:45.861673,,,,,,,,
15/11/2023 19:51:45.861816,,,,,,,,
15/11/2023 19:51:45.874256,,,1.123841307,1.109772556,,,,
15/11/2023 19:51:45.876682,,,1.123841302,1.109772556,,,,
15/11/2023 19:51:45.877890,,,1.123841296,1.109772556,,,,
15/11/2023 19:51:45.879092,,,1.123841289,1.109772556,,,,
