Datetime,kobuki_bat,powerbank_bat,position_x,position_y,throughput_upload,throughput_download,cpu_usage,ram_usage,completed_service_name,completed_service_duration
34:19.8,,,0.07475986,-0.010154649,,,,,,
34:19.8,,,0.074759858,-0.01015465,,,,,,
34:19.8,,,0.074759856,-0.010154652,,,,,,
34:19.9,,,,,,,,,,
34:20.5,,,,,7443.344727,,,,,
34:20.5,,,,,,34.03515625,,,,
34:20.9,,,,,,,,,,
34:21.6,,,0.076790326,-0.011445509,,,,,,
34:21.6,,,0.076790328,-0.011445511,,,,,,
34:21.7,,,0.07679033,-0.011445513,,,,,,
34:21.7,,,0.076790332,-0.011445515,,,,,,
34:21.7,,,0.076790334,-0.011445517,,,,,,
34:21.7,,,0.076790338,-0.011445522,,,,,,
34:21.7,,,0.076790338,-0.011445522,,,,,,
34:21.7,,,0.080277941,-0.014918018,,,,,,
34:21.8,,,0.080277957,-0.014918034,,,,,,
34:21.8,,,0.080277971,-0.014918048,,,,,,
34:21.8,,,,,9679.083008,,,,,
34:21.8,,,,,,15.12988281,,,,
34:21.8,,,,,7530.244141,,,,,
34:21.8,,,,,,32.13085938,,,,
34:21.9,,,,,,,,,,
34:22.9,,,,,,,,,,
34:23.1,,,0.075726351,-0.009460021,,,,,,
34:23.2,,,0.07572635,-0.009460019,,,,,,
34:23.2,,,0.075726346,-0.009460013,,,,,,
34:23.2,,,0.075726342,-0.009460007,,,,,,
34:23.2,,,0.075726338,-0.009460001,,,,,,
34:23.2,,,0.075726334,-0.009459996,,,,,,
34:23.2,,,0.075726331,-0.009459991,,,,,,
34:23.2,,,0.075726323,-0.009459979,,,,,,
34:23.2,,,0.07572632,-0.009459975,,,,,,
34:23.2,88.4848,63.85,,,,,96.7,8.18737152,,
34:23.2,,,0.075726319,-0.009459974,,,,,,
34:23.2,88.4848,63.85,,,,,90.9,8.18737152,,
34:23.3,,,,,8315.900391,,,,,
34:23.3,,,,,,38.67089844,,,,
34:23.9,,,,,,,,,,
34:24.7,,,0.075053212,-0.009307566,,,,,,
34:24.7,,,0.07505321,-0.009307564,,,,,,
34:24.7,,,0.075053208,-0.009307562,,,,,,
34:24.7,,,0.075053206,-0.009307561,,,,,,
34:24.7,,,0.075053201,-0.009307556,,,,,,
34:24.8,,,0.074280322,-0.015387399,,,,,,
34:24.8,,,,,8945.027344,,,,,
34:24.8,,,,,,27.42675781,,,,
34:24.8,,,0.074280321,-0.015387403,,,,,,
34:24.8,,,0.074280316,-0.01538742,,,,,,
34:24.8,,,0.074280311,-0.015387437,,,,,,
34:24.8,,,0.074280306,-0.015387452,,,,,,
34:24.9,,,,,,,,,,
34:25.4,,,,,8860.670898,,,,,
34:25.4,,,,,,15.36230469,,,,
34:25.9,,,,,,,,,,
34:26.7,,,0.075011422,-0.006852604,,,,,,
34:26.8,,,0.075011422,-0.006852602,,,,,,
34:26.8,,,0.075011421,-0.006852599,,,,,,
34:26.8,,,0.075011421,-0.006852596,,,,,,
34:26.8,,,0.075011421,-0.006852593,,,,,,
34:26.9,,,0.075011421,-0.006852586,,,,,,
34:26.9,,,0.075011421,-0.006852584,,,,,,
34:26.9,,,,,,,,,/IP_10_3_0_8/release_trolley,12766
34:26.9,,,0.07501142,-0.00685258,,,,,,
34:26.9,,,0.07501142,-0.006852578,,,,,,
34:26.9,,,,,,,,,,
34:27.0,,,0.07501142,-0.006852576,,,,,,
34:27.0,,,,,9031.540039,,,,,
34:27.0,,,,,,14.66503906,,,,
34:27.2,,,,,6454.880859,,,,,
34:27.2,,,,,,14.24511719,,,,
34:27.4,,,,,,,,,/IP_10_3_0_8/rosping_service,8248
34:27.9,,,,,,,,,,
34:28.9,,,0.074761031,-0.011158405,,,,,,
34:28.9,,,0.074761036,-0.011158403,,,,,,
34:28.9,,,0.074761042,-0.0111584,,,,,,
